batch,q0_wrist,q1_wrist,q2_wrist,q3_wrist,ax_wrist,ay_wrist,az_wrist,gx_wrist,gy_wrist,gz_wrist,q0_arm,q1_arm,q2_arm,q3_arm,ax_arm,ay_arm,az_arm,gx_arm,gy_arm,gz_arm,category
538,80,-7,3,59,-10,-3,69,-1,0,0,76,-30,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-10,-3,69,-1,0,0,76,-30,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-10,-3,69,-1,0,0,76,-30,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-10,-2,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-2,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-2,69,-1,0,0,76,-30,33,45,-47,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-2,69,-1,0,0,76,-30,33,45,-47,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-3,69,-1,0,0,76,-30,33,45,-47,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-3,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-3,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-3,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-3,68,-1,0,-1,76,-30,33,45,-47,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-2,69,-1,0,-1,76,-30,33,45,-47,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-3,68,-1,0,-1,76,-30,33,45,-47,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-3,68,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-2,68,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-3,68,-1,0,-1,76,-31,33,45,-48,-8,36,-1,0,-1,8
538,80,-7,3,58,-10,-3,69,-1,0,-1,76,-31,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,58,-9,-3,68,-1,0,-1,76,-31,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,58,-9,-3,68,-1,0,-1,76,-31,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,58,-10,-2,68,-1,0,-1,76,-31,33,45,-47,-8,37,-1,0,-1,8
538,80,-7,3,58,-10,-2,68,-1,0,-1,76,-31,33,45,-47,-8,37,-1,0,-1,8
538,80,-7,3,58,-9,-2,68,-1,0,-1,76,-31,33,45,-47,-8,37,-1,0,-1,8
538,80,-7,3,58,-9,-2,69,-1,0,-1,76,-31,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,58,-9,-2,69,-1,0,-1,76,-31,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,58,-9,-2,69,-1,0,-1,76,-31,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,58,-9,-2,69,-1,0,-1,76,-31,33,45,-49,-7,37,-1,0,-1,8
538,80,-7,3,58,-9,-2,69,-1,0,-1,76,-31,33,45,-49,-7,37,-1,0,-1,8
538,80,-7,3,58,-9,-2,69,-1,0,-1,76,-31,33,45,-48,-7,37,-1,0,-1,8
538,80,-7,3,58,-10,-2,69,-1,0,-1,76,-31,33,45,-47,-8,37,-1,0,-1,8
538,80,-7,3,58,-10,-2,69,-1,0,0,76,-31,33,45,-47,-8,37,-1,0,-1,8
538,80,-7,3,58,-10,-2,68,-1,0,0,76,-31,33,45,-47,-8,37,-1,0,-1,8
538,80,-7,3,58,-10,-2,69,-1,0,0,76,-31,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,58,-10,-2,69,-1,0,0,76,-31,33,45,-48,-8,36,-1,0,-1,8
538,80,-7,3,58,-10,-2,69,-1,0,0,76,-31,33,45,-48,-9,36,-1,0,0,8
538,80,-7,3,58,-10,-2,70,-1,0,-1,76,-31,33,45,-48,-9,36,-1,0,0,8
538,80,-7,3,58,-11,-2,69,-1,0,-1,76,-31,33,45,-48,-9,36,-1,0,0,8
538,80,-7,3,58,-10,-2,69,-1,0,-1,76,-31,33,45,-47,-9,36,-1,0,0,8
538,80,-7,3,58,-11,-2,69,-1,-1,-1,76,-31,33,45,-47,-9,36,-1,0,0,8
538,80,-7,3,58,-11,-2,69,-1,-1,-1,76,-31,33,45,-48,-9,36,-1,0,0,8
538,80,-7,3,58,-11,-1,69,-1,-1,-1,76,-31,33,45,-48,-9,36,-1,0,0,8
538,80,-7,3,58,-11,-1,69,-1,-1,-1,76,-31,33,45,-48,-9,36,-1,0,0,8
538,80,-7,3,58,-11,-2,68,-1,-1,-1,76,-31,33,45,-48,-10,35,-1,0,0,8
538,80,-7,3,58,-11,-1,68,0,-1,-1,76,-31,33,45,-48,-9,36,-1,0,0,8
538,80,-7,3,58,-11,-2,68,0,-1,-1,76,-31,33,45,-48,-9,36,-1,0,0,8
538,80,-7,3,58,-11,-2,68,0,-1,-1,75,-31,33,45,-47,-9,36,-1,0,0,8
538,80,-7,3,58,-11,-1,68,0,-1,-1,75,-31,33,45,-47,-9,36,-1,0,0,8
539,80,-6,2,59,-6,-3,71,-1,-2,0,75,-31,33,46,-47,-9,38,-1,-1,0,8
539,80,-6,2,59,-6,-2,70,0,-1,0,75,-31,33,46,-46,-9,38,-1,-1,0,8
539,80,-6,2,59,-6,-1,68,-1,-1,0,75,-31,33,46,-46,-7,38,-1,-1,0,8
539,80,-6,2,59,-7,-1,68,-1,-1,-1,75,-31,33,46,-47,-6,38,-1,-1,0,8
539,80,-6,2,59,-7,-3,69,-1,-1,-1,75,-31,33,46,-48,-7,38,-1,-1,-1,8
539,80,-6,2,59,-7,-4,69,-1,-1,-1,75,-30,33,46,-48,-8,39,-1,0,-1,8
539,80,-6,2,59,-7,-5,69,-1,-1,-1,75,-31,33,47,-48,-9,38,-1,-1,-1,8
539,80,-6,1,59,-7,-5,69,-1,-1,-1,75,-31,33,47,-48,-9,38,-1,-1,-1,8
539,80,-6,1,59,-7,-4,68,-1,-1,-1,75,-30,33,47,-47,-8,38,-1,-1,-1,8
539,80,-6,1,59,-7,-4,69,-1,0,-1,75,-30,33,47,-47,-8,38,-1,-1,-1,8
539,80,-6,1,59,-7,-3,69,-1,0,-1,75,-30,33,47,-47,-7,38,-1,-1,-1,8
